epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
215	0.1	-0.4759091	-0.98999995	43.636364	79.4	214999	-0.31109565	0.024096915	15035.3959332	0.05048722
216	0.0	-0.8391667	-1.0	84.083336	100.0	215999	-0.3418069	0.02157531	15119.42995	0.05121181
217	0.0	-0.95100003	-1.0	95.1	100.0	216999	-0.3286308	0.02018218	15206.746562	0.053745802
218	0.5	-0.49285716	-0.20199999	78.14286	70.7	217999	-0.29737836	0.01963894	15283.4929152	0.05374584
219	0.5	-0.47611108	-0.030999994	53.77778	53.6	218999	-0.2632565	0.018844604	15353.5933871	0.05200469
220	0.6	-0.2906667	-0.023000002	62.866665	53.0	219999	-0.23497038	0.018787723	15422.8891439	0.052959032
221	0.5	-0.14000002	-0.10199998	67.86667	50.8	220999	-0.22136615	0.018995736	15487.3475211	0.049311016
222	0.3	-0.023599988	-0.409	43.0	71.2	221999	-0.21803673	0.019215878	15558.525156	0.049566388
223	0.3	-0.47	-0.409	68.78571	71.2	222999	-0.20651956	0.018412618	15630.6650441	0.050471783
224	0.8	0.21291667	0.46999997	41.833332	33.8	223999	-0.19743522	0.018161507	15691.039537	0.049507506
225	0.3	-0.168	-0.47899994	63.933334	78.2	224999	-0.19429672	0.018345624	15763.826452	0.04898404
226	0.6	-0.344375	0.14000002	66.125	46.6	225999	-0.19059017	0.017849583	15829.6041741	0.05023034
227	0.2	-0.0947619	-0.607	48.238094	80.9	226999	-0.18034306	0.018318439	15905.329967	0.051291186
228	0.3	-0.46266666	-0.528	66.73333	43.5	227999	-0.16684172	0.018902369	15968.4147081	0.049296435
229	0.6	0.037500005	0.12699997	38.583332	47.9	228999	-0.16257708	0.018925363	16033.1027341	0.049923524
230	0.6	0.0691892	0.16600004	29.0	4.4	229999	-0.15641142	0.018936872	16086.724324	0.051804632
231	0.3	-0.17499998	-0.6840001	30.875	39.3	230999	-0.15731908	0.018987335	16149.150342	0.050194535
232	0.8	-0.09216214	0.50600004	26.297297	10.4	231999	-0.16737093	0.01977445	16205.8368452	0.05298455
233	0.3	-0.25866663	-0.561	33.333332	17.1	232999	-0.16363174	0.019337006	16264.6260681	0.05288517
234	0.5	-0.5193939	-0.20300002	31.60606	21.3	233999	-0.1458178	0.01889165	16324.4491792	0.052643947
235	0.8	-0.18266664	0.544	32.466667	16.5	234999	-0.1253218	0.018935677	16382.2993071	0.05205883
236	0.2	-0.464375	-0.615	59.4375	81.7	235999	-0.10747598	0.01898241	16459.6720312	0.050579816
237	0.4	-0.2835294	-0.21399999	58.294117	61.8	236999	-0.09625698	0.020368073	16532.896507	0.052738257
238	0.3	-0.985	-0.466	98.5	76.9	237999	-0.09870423	0.021504205	16612.3374031	0.05360359
239	0.3	0.02238096	-0.477	50.666668	78.0	238999	-0.105559126	0.021434678	16693.6120141	0.053307265
240	0.3	-0.1496825	-0.67399997	15.920635	58.1	239999	-0.13577783	0.021183036	16765.8105731	0.0541429
241	0.3	-0.13666666	-0.42899996	39.416668	73.2	240999	-0.16524439	0.02017495	16842.9808211	0.052330576
242	0.0	-0.6715385	-1.0	82.84615	100.0	241999	-0.163638	0.019871678	16925.3252161	0.049779344
